Id;Name;Revision;Usage;PrimaryPartId;Id;Name;ComplectationId;Id;Name;Date;Engine;Body;Grade;ATM;GearShiftType;Cab;TransmissionModel;LoadingCapacity;RearTire;Destination;FuelInduction;BuildingCondition;DoorsCount;Transmission;CarModelId;Id;Model;Code;ProductionYear;Type;MarketId;Id;Name;BrandId;Id;Name
15;ВОДЯНОЙ НАСОС;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
16;РАДИАТОР & ВЫХОД ВОДЫ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
17;КЛИНОВОЙ РЕМЕНЬ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
18;КОЛЛЕКТОР;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
19;ТРУБА ВЫХЛОПНОГО ГАЗА;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
20;ВОЗДУХООЧИСТИТЕЛЬ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
21;VACUUM PIPING;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
22;CAUTION PLATE & NAME PLATE (ДВИГАТЕЛЬ);NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
23;КАТУШКА ЗАЖИГАНИЯ & СВЕЧА ЗАЖИГАНИЯ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
24;ГЕНЕРАТОР;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
